Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction_mean	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	F[15]	F[16]	F[17]	F[18]	F[19]	F[20]	F[21]	F[22]	F[23]	F[24]	F[25]	F[26]	F[27]	F[28]	F[29]	F[30]	F[31]	F[32]	F[33]	F[34]	F[35]	F[36]	F[37]	F[38]	F[39]	F[40]	F[41]	F[42]	F[43]	F[44]	F[45]	F[46]	F[47]	F[48]	F[49]	F[50]	F[51]	F[52]	F[53]	F[54]	F[55]	F[56]	F[57]	F[58]	F[59]	F[60]	F[61]	F[62]	F[63]	F[64]	F[65]	F[66]	F[67]	F[68]	F[69]	F[70]	F[71]	F[72]	F[73]	F[74]	F[75]	F[76]	F[77]	F[78]	F[79]	F[80]	F[81]	F[82]	F[83]	F[84]	F[85]	F[86]	F[87]	F[88]	F[89]	F[90]	F[91]	F[92]	F[93]	F[94]	F[95]	F[96]	F[97]	F[98]	F[99]	F[100]	F[101]	F[102]	F[103]	F[104]	F[105]	F[106]	F[107]	F[108]	F[109]	F[110]	F[111]	F[112]	F[113]	F[114]	F[115]	F[116]	F[117]	F[118]	F[119]	F[120]	F[121]	F[122]	F[123]	F[124]	F[125]	F[126]	F[127]	F[128]	F[129]	F[130]	F[131]	F[132]	F[133]	F[134]	F[135]	F[136]	F[137]	F[138]	F[139]	F[140]	F[141]	F[142]	fossilization[1]	fossilization[2]	fossilization[3]	fossilization[4]	fossilization[5]	fossilization[6]	fossilization[7]	fossilization[8]	fossilization[9]	fossilization_mean	num_samp_anc	origin_time	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation_mean	speciation_sd	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	t[23]	t[24]	t[25]	t[26]	t[27]	t[28]	t[29]	t[30]	t[31]	t[32]	t[33]	t[34]	t[35]	t[36]	t[37]	t[38]	t[39]	t[40]	t[41]	t[42]	t[43]	t[44]	t[45]	t[46]	t[47]	t[48]	t[49]	t[50]	t[51]	t[52]	t[53]	t[54]	t[55]	t[56]	t[57]	t[58]	t[59]	t[60]	t[61]	t[62]	t[63]	t[64]	t[65]	t[66]	t[67]	t[68]	t[69]	t[70]	t[71]	t[72]	t[73]	t[74]	t[75]	t[76]	t[77]	t[78]	t[79]	t[80]	t[81]	t[82]	t[83]	t[84]	t[85]	t[86]	t[87]	t[88]	t[89]	t[90]	t[91]	t[92]	t[93]	t[94]	t[95]	t[96]	t[97]	t[98]	t[99]	t[100]	t[101]	t[102]	t[103]	t[104]	t[105]	t[106]	t[107]	t[108]	t[109]	t[110]	t[111]	t[112]	t[113]	t[114]	t[115]	t[116]	t[117]	t[118]	t[119]	t[120]	t[121]	t[122]	t[123]	t[124]	t[125]	t[126]	t[127]	t[128]	t[129]	t[130]	t[131]	t[132]	t[133]	t[134]	t[135]	t[136]	t[137]	t[138]	t[139]	t[140]	t[141]	t[142]
0	-2503.662	-2498.914	-4.747682	4.478932	0.3713657	0.5304412	0.0888209	0.0888209	0.0888209	0.0888209	0.0888209	0.0888209	0.0888209	0.0888209	0.0888209	0.08882086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000627619	0.000627619	0.000627619	0.000627619	0.000627619	0.000627619	0.000627619	0.000627619	0.000627619	0.0006276187	0	146.279	0.478882	0.790297	1.08407	1.64675	0.0145819	0.0308222	0.048438	0.0699474	0.0980301	0.137388	0.198396	0.311785	0.659029	0.09803011	1.196002	93.5	93.5	93.5	59.2	47.8	40.4	33.9	33.9	33.9	33.9	23.03	23.03	23.03	23.03	23.03	23.03	23.03	23.03	20.44	13.82	13.82	13.82	13.82	13.82	13.82	13.82	13.82	13.82	13.82	13.82	15.97	13.82	15.97	13.82	13.82	15.97	13.82	13.82	15.97	13.82	13.82	15.97	13.82	13.82	13.82	13.82	13.82	13.82	13.82	13.82	13.82	13.82	13.82	15.97	13.82	13.82	13.82	13.82	13.82	15.97	13.82	15.97	13.82	13.82	13.82	13.82	13.65	13.65	13.65	13.65	13.82	5.333	13.65	13.65	11.608	5.333	5.333	2.588	11.608	11.608	11.608	5.333	5.333	11.608	11.608	11.608	11.608	11.608	11.608	13.65	13.65	13.65	15.97	15.97	20.44	15.97	15.97	20.44	15.97	15.97	15.97	15.97	20.44	15.97	23.03	23.03	30.8	28.4	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	41.3	47.8	48.6	48.6	48.6	47.8	47.8	47.8	59.2	93.5	93.5	93.5	93.5	93.5	112.03	113	125	130
10	-1749.825	-1748.188	-1.637428	0.7577477	0.02723537	0.351582	0.201269	0.201269	0.201269	0.201269	0.201269	0.201269	0.201269	0.201269	0.201269	0.2012691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0122635	0.0122635	0.0122635	0.0122635	0.0122635	0.0122635	0.0122635	0.0122635	0.0122635	0.01226352	25	145.349	0.0865419	0.38955	0.944523	2.57939	0.0133107	0.0269684	0.0413111	0.0584281	0.0803367	0.11046	0.156229	0.239316	0.484872	0.08033666	1.128319	93.5	93.5	93.5	59.2	47.8	40.4	35.6146	35.6146	33.9	33.9	23.03	23.03	24.6752	23.03	23.03	23.4983	23.03	23.03	20.44	15.0552	14.9823	13.82	13.82	13.82	13.82	13.82	13.82	13.82	13.82	13.82	15.97	13.82	15.97	13.82	13.82	15.97	13.82	13.82	15.97	13.82	13.82	15.97	13.82	13.82	13.82	13.82	13.82	13.82	13.82	20.3469	13.82	13.82	13.82	15.97	13.82	13.82	13.82	13.82	13.82	15.97	13.82	15.97	13.82	13.82	13.82	13.82	13.65	13.65	13.65	13.65	13.82	5.333	13.65	13.65	11.608	5.333	5.333	2.588	11.608	11.608	11.608	5.333	5.333	11.608	11.608	11.608	11.608	11.608	11.608	13.65	13.65	13.65	15.97	17.9336	20.44	15.97	15.97	20.44	15.97	19.3772	15.97	15.97	20.44	15.97	23.03	23.03	30.8	28.4	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	41.3	47.8	48.6	48.6	48.6	47.8	47.8	47.8	59.2	93.5	93.5	93.5	93.5	93.5	112.03	113	125	130
20	-1638.737	-1634.991	-3.746654	0.6024711	0.03287379	0.5119319	0.354382	0.354382	0.354382	0.354382	0.354382	0.354382	0.354382	0.354382	0.354382	0.3543819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0530684	0.0530684	0.0530684	0.0530684	0.0530684	0.0530684	0.0530684	0.0530684	0.0530684	0.05306843	32	145.04	0.0536181	0.313643	0.882574	2.75016	0.0136138	0.0292906	0.0465265	0.0677745	0.0957472	0.135265	0.197039	0.312986	0.673401	0.09574724	1.224332	93.5	93.5	93.5	60.4586	47.8	40.4	35.6146	35.6146	33.9	33.9	23.03	23.03	24.6752	23.03	25.4718	23.4983	23.03	23.03	20.44	15.0552	15.9232	14.259	13.82	18.7635	13.82	13.82	13.82	13.82	13.82	13.82	15.97	13.82	15.97	13.82	13.82	15.97	13.82	13.82	15.97	13.82	13.82	15.97	13.82	13.82	13.82	13.82	13.82	13.82	13.82	20.3469	13.82	13.82	13.82	15.97	13.82	13.82	13.82	13.82	13.82	15.97	13.82	15.97	13.82	13.82	13.82	13.82	13.65	13.65	13.65	13.65	13.82	7.47164	13.65	13.65	11.608	5.333	5.333	2.588	11.608	11.608	11.608	5.333	5.333	11.608	11.608	11.608	11.608	11.608	11.608	13.65	13.65	13.65	15.97	17.9336	20.44	19.3722	15.97	20.44	15.97	19.3772	15.97	17.9608	20.44	15.97	23.03	27.965	30.8	28.4	33.9	33.9	33.9	33.9	33.9	33.9	34.9286	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	41.3	47.8	48.6	48.6	48.6	47.8	47.8	47.8	59.2	93.5	93.5	93.5	93.5	93.5	112.03	113	125	130
30	-1576.935	-1573.042	-3.892815	0.8336246	0.02012589	0.531967	0.342894	0.342894	0.342894	0.342894	0.342894	0.342894	0.342894	0.342894	0.342894	0.3428944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0405736	0.0405736	0.0405736	0.0405736	0.0405736	0.0405736	0.0405736	0.0405736	0.0405736	0.04057361	38	145.5496	0.102691	0.420327	0.965853	2.51113	0.0156367	0.0338185	0.0538879	0.0786984	0.111441	0.157806	0.230461	0.367227	0.794224	0.1114409	1.232644	93.5	93.5	93.5	60.4586	47.8	40.4	35.6146	35.6146	33.9	33.9	23.03	23.03	24.6752	23.03	25.4718	24.5656	23.03	23.03	20.44	15.0552	15.9232	14.259	13.82	18.7635	13.82	13.82	13.82	13.82	13.82	13.82	15.97	13.82	15.97	13.82	13.82	15.97	13.82	13.82	15.97	13.82	13.82	15.97	13.82	14.2298	13.82	13.82	13.82	13.82	13.82	20.3469	18.6881	13.82	13.82	15.97	13.82	13.82	13.82	13.82	13.82	15.97	13.82	15.97	13.82	13.82	13.82	13.82	13.65	13.65	13.65	13.65	13.82	10.8082	13.65	13.65	11.608	5.333	5.333	2.588	11.608	11.608	11.608	5.333	5.333	11.608	11.608	11.608	11.608	11.608	11.608	13.65	13.65	13.65	15.97	17.9336	20.44	19.3722	15.97	20.44	15.97	19.3772	15.97	17.9608	20.44	15.97	23.3524	27.965	30.8	29.2948	33.9	33.9	33.9	37.0239	33.9	33.9	36.432	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	44.2538	47.8	48.6	54.5063	48.6	47.8	47.8	47.8	59.2	93.5	93.5	93.5	93.5	93.5	112.03	113	125	130
40	-1535.534	-1531.712	-3.821363	0.5584724	0.016364	0.5990401	0.358528	0.358528	0.358528	0.358528	0.358528	0.358528	0.358528	0.358528	0.358528	0.358528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0550156	0.0550156	0.0550156	0.0550156	0.0550156	0.0550156	0.0550156	0.0550156	0.0550156	0.05501565	45	146.4206	0.0446724	0.288385	0.858558	2.80838	0.0147405	0.0317415	0.0504453	0.0735132	0.103894	0.14683	0.213974	0.340059	0.732266	0.103894	1.225677	93.5	93.5	93.5	60.4586	47.8	46.962	35.6146	35.6146	33.9	33.9	23.03	23.03	24.6752	23.03	25.4718	23.7204	23.03	23.03	20.44	15.0552	15.9232	14.259	13.82	18.7635	13.82	13.82	13.82	13.82	13.82	13.82	15.97	13.82	15.97	13.82	13.82	15.97	17.1586	13.82	15.97	13.82	13.82	15.97	13.82	14.2298	13.82	15.3069	13.82	17.171	13.82	20.3469	18.6881	13.82	13.82	15.97	13.82	13.82	13.82	13.82	13.82	15.97	13.82	15.97	13.82	13.82	13.82	13.82	13.65	13.65	13.65	13.65	13.82	10.8082	13.65	13.65	11.608	5.333	5.333	2.588	11.608	11.608	11.608	8.81593	5.333	11.608	11.608	11.608	11.608	11.608	11.608	14.7872	13.65	13.65	15.97	21.188	20.44	19.3722	15.97	20.44	15.97	19.3772	15.97	17.9608	20.44	15.97	23.3524	27.965	32.35	29.2948	33.9	33.9	33.9	37.0239	34.2273	33.9	36.432	36.1531	33.9	33.9	34.5308	33.9	33.9	33.9	33.9	33.9	44.3741	47.8	48.6	54.5063	48.6	47.8	47.8	47.8	59.2	93.5	93.5	93.5	93.5	93.5	112.03	113	125	130
50	-1528.457	-1524.363	-4.093715	0.6863974	0.02027779	0.332015	0.382274	0.382274	0.382274	0.382274	0.382274	0.382274	0.382274	0.382274	0.382274	0.3822744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0564478	0.0564478	0.0564478	0.0564478	0.0564478	0.0564478	0.0564478	0.0564478	0.0564478	0.05644778	47	146.0669	0.0712854	0.357041	0.919722	2.65195	0.0131275	0.028268	0.0449251	0.0654687	0.092525	0.130763	0.190559	0.302846	0.652134	0.09252497	1.225677	93.5	93.5	93.5	60.4586	47.8	46.962	35.6146	35.6146	33.9	33.9	23.03	23.03	24.6752	23.03	25.4718	26.7435	23.03	23.03	20.44	15.0552	16.9992	14.259	13.82	19.1512	13.82	13.82	13.82	13.82	13.82	16.7636	15.97	13.82	15.97	13.82	13.82	15.97	17.1586	13.82	15.97	13.82	13.82	17.1478	13.82	14.2298	15.1956	15.3069	13.82	18.4112	13.82	20.3469	18.6881	13.82	15.1956	15.97	13.82	13.82	13.82	13.82	13.82	16.0043	13.82	15.97	13.82	13.82	13.82	13.82	13.65	13.65	13.65	13.65	13.82	10.394	13.65	13.65	11.608	5.333	5.333	2.588	11.608	11.608	11.608	7.49899	5.333	11.608	11.608	11.608	11.608	11.608	11.608	14.7872	15.1749	13.65	15.97	21.188	20.44	20.0091	15.97	20.44	15.97	19.3772	15.97	17.9608	20.44	15.97	23.3524	27.965	32.35	29.2948	33.9	33.9	33.9	37.0239	34.2273	33.9	36.432	36.1531	33.9	33.9	34.5308	33.9	33.9	33.9	33.9	33.9	44.3741	47.8	48.6	54.5063	48.6	47.8	47.8	47.8	59.2	93.5	93.5	93.5	93.5	93.5	112.03	113	125	130
60	-1521.078	-1516.78	-4.297818	1.094534	0.01218555	0.4535517	0.354029	0.354029	0.354029	0.354029	0.354029	0.354029	0.354029	0.354029	0.354029	0.3540292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0489866	0.0489866	0.0489866	0.0489866	0.0489866	0.0489866	0.0489866	0.0489866	0.0489866	0.04898658	47	147.5751	0.155421	0.503432	1.01405	2.32709	0.0155592	0.0335045	0.0532471	0.0775964	0.109665	0.154986	0.225859	0.358946	0.772938	0.1096646	1.225677	93.5	93.5	94.4059	60.4586	47.8	46.962	35.7133	35.7133	33.9	33.9	23.03	23.03	24.6752	23.03	25.4718	26.7435	23.03	23.03	20.44	15.0552	16.9992	14.259	13.82	19.1512	13.82	13.82	13.82	13.82	13.82	16.7636	15.97	13.82	15.97	13.82	13.82	15.97	17.1586	13.82	15.97	13.82	13.82	17.1478	13.82	14.2298	15.1956	15.3069	13.82	18.7244	13.82	20.3469	18.6881	13.82	15.1956	15.97	13.82	13.82	13.82	13.82	14.6408	16.0043	13.82	15.97	13.82	13.82	13.82	13.82	13.65	13.65	13.65	13.65	13.82	10.394	13.65	13.65	12.0209	8.6553	5.333	2.588	12.0209	11.608	11.608	7.49899	8.6553	11.608	11.608	11.608	12.1737	11.608	11.608	14.7872	15.1749	13.65	15.97	21.188	20.44	20.0091	15.97	20.44	15.97	19.3772	15.97	17.9608	20.44	15.97	23.3524	27.965	32.35	29.2948	33.9	33.9	33.9	37.0239	34.1832	33.9	36.432	36.1531	33.9	35.8975	34.5308	33.9	33.9	33.9	33.9	33.9	44.3741	47.8	48.6	54.5063	49.5589	47.8	47.8	47.8	59.2	93.5	93.5	93.5	93.5	93.5	112.03	113	125	130
70	-1511.738	-1506.788	-4.950637	0.8140396	0.01500685	0.4692714	0.430285	0.430285	0.430285	0.430285	0.430285	0.430285	0.430285	0.430285	0.430285	0.430285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0620255	0.0620255	0.0620255	0.0620255	0.0620255	0.0620255	0.0620255	0.0620255	0.0620255	0.06202553	49	148.8989	0.0985426	0.412726	0.96077	2.52796	0.0162186	0.0349244	0.0555037	0.0808848	0.114312	0.161554	0.23543	0.374158	0.805694	0.114312	1.225677	93.5	93.5	94.4059	59.4019	47.8	46.962	35.7133	35.7133	33.9	33.9	23.03	23.03	24.6752	23.03	25.4718	26.7435	23.03	23.03	20.44	15.0552	16.9992	14.259	13.82	19.1512	16.1806	13.82	13.82	13.82	13.82	16.7636	15.97	13.82	15.97	13.82	13.82	15.97	17.1586	13.82	15.97	13.82	13.82	17.1478	14.0443	14.2298	16.5231	15.3069	13.82	18.7244	14.519	20.3469	18.2563	14.519	16.5231	15.97	13.82	16.1907	13.82	13.82	14.6408	16.0043	13.82	15.97	13.82	13.82	13.82	13.8805	13.65	13.65	13.65	13.65	13.82	10.394	13.65	13.65	12.0209	8.6553	5.333	2.588	12.0209	11.608	11.608	7.49899	8.6553	11.608	11.608	11.608	12.1737	11.608	11.608	14.7872	15.1749	13.65	15.97	22.6531	20.44	20.0091	15.97	20.44	15.97	19.3772	15.97	17.9608	20.44	15.97	23.3524	27.965	32.35	29.2948	33.9	33.9	33.9	37.0239	34.1832	33.9	36.432	36.1531	33.9	35.8975	34.5308	33.9	33.9	33.9	33.9	33.9	44.3741	47.8	48.6	54.5063	49.5589	47.8	47.8	47.8	59.2	93.5	93.5	93.5	93.5	93.5	112.03	113	125	130
80	-1500.717	-1494.152	-6.565193	1.195421	0.01662986	0.6826606	0.523993	0.523993	0.523993	0.523993	0.523993	0.523993	0.523993	0.523993	0.523993	0.5239925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0478526	0.0478526	0.0478526	0.0478526	0.0478526	0.0478526	0.0478526	0.0478526	0.0478526	0.04785256	51	146.1064	0.174222	0.528526	1.0261	2.27115	0.0225546	0.0483574	0.0766509	0.111464	0.157221	0.221761	0.322481	0.511161	1.09594	0.157221	1.218737	93.5	93.5	94.4059	59.4019	47.8	46.962	36.6859	36.6859	33.9	33.9	23.03	23.03	24.6752	26.0759	25.4718	26.7435	23.03	23.03	20.44	15.0552	16.9992	14.259	13.82	19.1512	16.1806	13.82	13.82	13.82	13.82	16.7636	15.97	13.82	15.97	13.82	13.82	16.135	17.1586	13.82	15.97	13.82	13.82	17.7626	14.0443	14.2298	17.1099	15.3069	13.82	18.7244	14.519	17.3748	18.2563	14.519	17.1099	15.97	13.82	16.1907	13.82	13.82	14.6408	16.0043	13.82	15.97	13.82	13.82	13.82	13.8805	13.65	13.65	13.65	13.65	13.82	10.394	13.65	14.0158	12.0209	8.94314	5.333	2.588	12.0209	11.608	11.608	7.49899	8.94314	11.608	11.608	11.608	12.1737	11.608	11.608	14.7872	15.1749	13.65	15.97	22.517	20.44	20.0091	15.97	20.44	15.97	19.3772	15.97	17.9608	20.44	15.97	23.3524	27.965	32.5458	29.2948	33.9	33.9	33.9	37.0173	34.1832	33.9	36.432	36.1531	33.9	35.8975	34.5308	33.9	33.9	33.9	33.9	33.9	44.3741	47.8	48.6	54.5063	49.5589	47.8	47.8	47.8	59.2	93.5	93.5	93.5	93.5	93.5	112.03	113	125	130
90	-1481.59	-1475.516	-6.074599	1.175339	0.01245803	0.6323562	0.476976	0.476976	0.476976	0.476976	0.476976	0.476976	0.476976	0.476976	0.476976	0.4769762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0660913	0.0660913	0.0660913	0.0660913	0.0660913	0.0660913	0.0660913	0.0660913	0.0660913	0.06609132	52	145.7733	0.170555	0.523779	1.02391	2.28176	0.0193642	0.041797	0.0665212	0.0970535	0.137309	0.194263	0.283427	0.451082	0.973645	0.1373095	1.229467	93.5	93.5	94.4059	59.4019	47.8	46.962	36.6899	36.6899	33.9	33.9	23.03	23.03	24.6752	26.0759	25.4718	26.7435	23.03	23.03	20.44	15.0552	17.3227	14.259	20.2434	19.1512	15.228	13.82	13.82	13.82	14.6367	16.7636	15.97	13.82	15.97	13.82	13.82	16.135	17.1586	13.82	15.97	13.82	13.82	17.7626	14.0443	14.0612	17.1099	15.3069	13.82	18.5969	15.1299	17.3748	18.2563	15.1299	17.1099	15.97	13.82	17.3786	13.82	13.82	16.1536	16.0043	13.82	15.97	13.82	13.82	13.82	13.8805	13.65	13.65	13.65	14.5991	13.82	10.394	14.5991	14.0158	12.3433	11.147	5.333	2.588	12.3433	11.608	11.608	7.49899	11.147	11.608	11.608	11.608	12.1737	11.608	11.608	14.7872	15.1749	13.65	15.97	22.517	20.44	20.0091	15.97	20.44	15.97	19.3772	15.97	17.9608	20.44	15.97	23.3524	27.965	32.5458	29.2948	33.9	33.9	33.9	37.0173	34.1832	33.9	36.432	36.1531	33.9	35.8975	34.5308	33.9	33.9	33.9	33.9	33.9	44.3741	47.8	48.6	53.1695	50.838	47.8	47.8	47.8	59.2	93.5	93.5	93.5	94.3934	93.5	112.03	113	125	130
